stage,step,train_objective,validation_mse,beta,alpha5,lambda_imag,seed
adam,300,3.3598908487033666e-09,1.667073315277037e-09,0.11420129062671834,0.8,0.7142857142857143,0
adam,310,2.1463942994183466e-09,5.764853457411225e-10,0.11423604457220488,0.8,0.7142857142857143,0
adam,320,1.707606500420762e-09,1.843981046802786e-10,0.11425762059615455,0.8,0.7142857142857143,0
adam,330,1.5598986163800217e-09,5.354050309218022e-11,0.11427058482872929,0.8,0.7142857142857143,0
adam,340,1.514401738406746e-09,1.36131589768356e-11,0.1142780767233828,0.8,0.7142857142857143,0
adam,350,1.5019454202748459e-09,2.834264518912554e-12,0.11428223447013898,0.8,0.7142857142857143,0
adam,360,1.499080606739337e-09,4.0822342529599955e-13,0.11428439215131435,0.8,0.7142857142857143,0
adam,370,1.498600980580164e-09,1.965363250871022e-14,0.11428542391276225,0.8,0.7142857142857143,0
adam,380,1.4985744727904828e-09,4.150016398732901e-15,0.11428584790356237,0.8,0.7142857142857143,0
adam,390,1.4985868058522773e-09,1.511493106451469e-14,0.11428596837763445,0.8,0.7142857142857143,0
adam,400,1.4985863551499694e-09,1.3699606777665463e-14,0.11428595673831292,0.8,0.7142857142857143,0
adam,410,1.4985805207877943e-09,7.978512966089895e-15,0.11428589904125452,0.8,0.7142857142857143,0
adam,420,1.4985756697033645e-09,3.5421906070869824e-15,0.11428583749762919,0.8,0.7142857142857143,0
adam,430,1.4985730318416074e-09,1.2451925539072332e-15,0.11428578729458536,0.8,0.7142857142857143,0
adam,440,1.4985719208044478e-09,3.3464007512130826e-16,0.11428575201220499,0.8,0.7142857142857143,0
adam,450,1.498571543294099e-09,5.921069972456054e-17,0.11428572980903133,0.8,0.7142857142857143,0
adam,460,1.4985714438578491e-09,5.861771820805008e-18,0.11428571715553189,0.8,0.7142857142857143,0
adam,470,1.4985714257022248e-09,7.142541887622219e-18,0.11428571080383856,0.8,0.7142857142857143,0
adam,480,1.4985714252748109e-09,1.3706526430032851e-17,0.11428570812569903,0.8,0.7142857142857143,0
adam,490,1.4985714262762511e-09,1.6386160721131204e-17,0.11428570739770468,0.8,0.7142857142857143,0
adam,500,1.4985714268891543e-09,1.655628759602018e-17,0.11428570752781837,0.8,0.7142857142857143,0
adam,510,1.4985714275264097e-09,1.6018118050479024e-17,0.11428570793723293,0.8,0.7142857142857143,0
adam,520,1.4985714284067026e-09,1.5720961575556208e-17,0.11428570834714948,0.8,0.7142857142857143,0
adam,530,1.4985714296469253e-09,1.6014223073812087e-17,0.11428570865726857,0.8,0.7142857142857143,0
adam,540,1.4985714313263641e-09,1.698731954754909e-17,0.11428570885564203,0.8,0.7142857142857143,0
adam,550,1.4985714335685592e-09,1.8704103939633088e-17,0.1142857089642145,0.8,0.7142857142857143,0
adam,560,1.4985714366065853e-09,2.1313427610284524e-17,0.1142857090136441,0.8,0.7142857142857143,0
adam,570,1.4985714408512703e-09,2.5148611611512945e-17,0.11428570902904009,0.8,0.7142857142857143,0
adam,580,1.4985714470309838e-09,3.087953476168803e-17,0.11428570902842561,0.8,0.7142857142857143,0
adam,590,1.4985714565155046e-09,3.9838975782575635e-17,0.1142857090220866,0.8,0.7142857142857143,0
adam,599,1.4985714701493473e-09,5.247641721603505e-17,0.11428570901924669,0.8,0.7142857142857143,0
lbfgs_final,600,5.448282873887929e-17,5.247641721603505e-17,0.11428570901924669,0.8,0.7142857142857143,0
adam,0,0.8634462884469454,0.7083592931393307,0.13533804404098368,0.8,0.7142857142857143,1
adam,10,0.19357116736810479,0.1878204664379458,0.052598733263820294,0.8,0.7142857142857143,1
adam,20,0.04083348368533429,0.041441474688996345,0.07391249996839727,0.8,0.7142857142857143,1
adam,30,0.008561797196879427,0.008325557544171693,0.08226886475312914,0.8,0.7142857142857143,1
adam,40,0.007067702674958986,0.006400610151136695,0.10978516677165276,0.8,0.7142857142857143,1
adam,50,0.0018423132535235322,0.0014159843502464357,0.1130272689865588,0.8,0.7142857142857143,1
adam,60,0.0006729186393817617,0.0006561014696923086,0.1132152467210381,0.8,0.7142857142857143,1
adam,70,0.0004210424259341467,0.00042091858335757394,0.11495355083664621,0.8,0.7142857142857143,1
adam,80,0.00012268535772716398,0.00010320064622278606,0.11631474602451457,0.8,0.7142857142857143,1
adam,90,2.6564340731362723e-05,2.8336088970958846e-05,0.11518757355068748,0.8,0.7142857142857143,1
adam,100,1.655266758567403e-05,1.5290179816877948e-05,0.11443264347636783,0.8,0.7142857142857143,1
adam,110,4.608315594115851e-06,3.6479025479630352e-06,0.11333470500500555,0.8,0.7142857142857143,1
adam,120,2.1269103431315246e-06,1.8762548476807074e-06,0.11400985064442545,0.8,0.7142857142857143,1
adam,130,2.6882080333335934e-07,1.752979127764179e-07,0.11446559211355416,0.8,0.7142857142857143,1
adam,140,1.3486322097601247e-07,1.5429597381803314e-07,0.11454225805310167,0.8,0.7142857142857143,1
adam,150,9.982609718588522e-08,9.840813865716878e-08,0.11433133901620274,0.8,0.7142857142857143,1
adam,160,2.3790297535524397e-08,2.2794408300174302e-08,0.11417685416560297,0.8,0.7142857142857143,1
adam,170,1.149140891841254e-08,8.35700259873876e-09,0.1142463886282525,0.8,0.7142857142857143,1
adam,180,3.4077877403664374e-09,1.8152605908621558e-09,0.11431358351880541,0.8,0.7142857142857143,1
adam,190,2.9430907163994357e-09,1.4683921207666559e-09,0.11430134349001213,0.8,0.7142857142857143,1
adam,200,1.7550624439354158e-09,2.840390501587325e-10,0.11427889644758696,0.8,0.7142857142857143,1
adam,210,1.704279642762475e-09,1.9002575903658837e-10,0.11427912586504252,0.8,0.7142857142857143,1
adam,220,1.5150856576633257e-09,2.0886025101109693e-11,0.11428708402758929,0.8,0.7142857142857143,1
adam,230,1.5200391210480032e-09,2.054170014384788e-11,0.11428861729386533,0.8,0.7142857142857143,1
adam,240,1.5034332757812353e-09,3.7661926446411335e-12,0.11428552414521242,0.8,0.7142857142857143,1
adam,250,1.5011798762216276e-09,2.6086595147736376e-12,0.11428456254394034,0.8,0.7142857142857143,1
adam,260,1.4991785286150309e-09,5.608907231710648e-13,0.11428571486103774,0.8,0.7142857142857143,1
adam,270,1.4989093432369332e-09,3.1847960890911874e-13,0.11428608503560604,0.8,0.7142857142857143,1
adam,280,1.498642507668367e-09,8.792517515307346e-14,0.11428572069873048,0.8,0.7142857142857143,1
adam,290,1.4986015438252022e-09,2.3170203560531467e-14,0.11428559912173908,0.8,0.7142857142857143,1
adam,300,1.498583576620494e-09,1.43827291061946e-14,0.11428570888896054,0.8,0.7142857142857143,1
adam,310,1.498574211338486e-09,1.4431050470742835e-15,0.11428573312116354,0.8,0.7142857142857143,1
adam,320,1.498572944355774e-09,1.8717234038379654e-15,0.11428570723038449,0.8,0.7142857142857143,1
adam,330,1.4985718592900043e-09,2.684866623873632e-16,0.114285704776532,0.8,0.7142857142857143,1
adam,340,1.4985716193271468e-09,1.7835365235175614e-16,0.11428570967848023,0.8,0.7142857142857143,1
adam,350,1.4985714917005871e-09,5.0594098571239634e-17,0.11428570952580688,0.8,0.7142857142857143,1
adam,360,1.498571443926866e-09,3.646817983199658e-17,0.11428570844387521,0.8,0.7142857142857143,1
adam,370,1.498571432441239e-09,1.0645336596743515e-17,0.11428570854261318,0.8,0.7142857142857143,1
adam,380,1.49857142472398e-09,1.0521992359704761e-17,0.11428570885367681,0.8,0.7142857142857143,1
adam,390,1.4985714226915848e-09,1.1791812468145382e-17,0.11428570886098398,0.8,0.7142857142857143,1
adam,400,1.4985714216481812e-09,8.289971817091082e-18,0.11428570894333116,0.8,0.7142857142857143,1
adam,410,1.4985714212227043e-09,8.52222116894153e-18,0.11428570876238271,0.8,0.7142857142857143,1
adam,420,1.4985714210397642e-09,9.515267773994231e-18,0.11428570870416507,0.8,0.7142857142857143,1
