alpha5,lambda_real,lambda_imag,seed,beta_learned,beta_exact,beta_abs_error,train_mse,validation_mse,validation_rms_vector,validation_max_vector,max_physical_coeff_error,max_distractor_abs,elapsed_seconds,lbfgs_closure_calls,coef_S_cross_covariant_Sx,exact_S_cross_covariant_Sx,coef_varrho_m,exact_varrho_m,coef_S,exact_S,coef_chi_m,exact_chi_m,coef_covariant_Sx,exact_covariant_Sx,coef_chi_covariant_Sx,exact_chi_covariant_Sx,coef_xi_S,exact_xi_S,coef_m_cross_covariant_Sx,exact_m_cross_covariant_Sx,coef_chi_m_cross_S,exact_chi_m_cross_S,coef_varrho_S,exact_varrho_S,coef_m,exact_m,coef_chi_squared_m,exact_chi_squared_m
0.8,0.0,0.7142857142857143,0,0.11428570901924669,0.11428571428571431,5.266467623110671e-09,5.448282873887929e-17,5.247641721603505e-17,1.2547081399596688e-08,3.4563738711040656e-08,5.658633353555764e-09,5.0908491294285225e-09,1.1285998821258545,1,0.6999999988607899,0.7,0.11428570862708096,0.11428571428571431,-0.48999999870124233,-0.48999999999999994,0.07999999662869184,0.08000000000000002,1.1314491740506039e-11,0.0,7.563210154811963e-12,0.0,4.963460226875095e-12,0.0,-3.860413232137178e-12,0.0,5.0908491294285225e-09,0.0,-1.7409681068336873e-12,0.0,3.693447692598671e-11,0.0,-6.5991759047086475e-12,0.0
0.8,0.0,0.7142857142857143,1,0.11428570880438778,0.11428571428571431,5.481326531553421e-09,9.143997199192665e-18,9.395567575065895e-18,5.309115060459481e-09,9.861002678897186e-09,5.834814173488745e-09,4.947039324075741e-10,1.1585652828216553,1,0.6999999988668285,0.7,0.11428570845090014,0.11428571428571431,-0.4899999985673905,-0.48999999999999994,0.07999999655388605,0.08000000000000002,-1.1339946969858947e-11,0.0,6.342449066371571e-13,0.0,3.371428111407142e-12,0.0,-1.2256140865719999e-11,0.0,2.08592681021438e-12,0.0,2.5557319482620285e-12,0.0,-2.4128770150433837e-12,0.0,-4.947039324075741e-10,0.0
0.8,0.0,0.7142857142857143,2,0.11428570904219529,0.11428571428571431,5.243519021758125e-09,8.303643911967141e-18,8.1203941022392e-18,4.935704843962775e-09,9.989408932416124e-09,5.5838358936632915e-09,2.357666207029738e-11,1.1725196838378906,1,0.6999999989053483,0.7,0.11428570870187842,0.11428571428571431,-0.489999998664168,-0.48999999999999994,0.07999999664137462,0.08000000000000002,2.85264575535773e-12,0.0,-9.189705046407285e-12,0.0,1.3117294043048833e-12,0.0,-2.357666207029738e-11,0.0,-2.375017062072014e-13,0.0,1.3015028624908672e-11,0.0,8.322368313142542e-12,0.0,-6.757107030538167e-12,0.0
0.8,0.0,0.4166666666666667,0,0.06666669800281787,0.06666666666666668,3.133615118777744e-08,4.815490545367481e-14,4.943739137166108e-14,3.8511319649550214e-07,1.4271799719105851e-06,3.605821321528424e-07,8.09872586758702e-08,1.1816163063049316,29,1.1999997948307166,1.2,0.06666670350196481,0.06666666666666668,-1.4399996394178678,-1.44,0.08000002092281529,0.08000000000000002,-4.72523238508011e-10,0.0,-4.6795107511184934e-08,0.0,5.3119804432180395e-08,0.0,-2.9274269817227986e-08,0.0,1.0437102717757807e-09,0.0,-8.09872586758702e-08,0.0,4.635666087020529e-08,0.0,-2.113616730749385e-09,0.0
0.8,0.0,0.4166666666666667,1,0.06666666600754918,0.06666666666666668,6.591174966930069e-10,2.072630032965827e-17,2.1072289410094025e-17,7.950903610928889e-09,3.121886703972471e-08,2.769856788376046e-09,2.6887991819909957e-09,1.1638951301574707,1,1.199999998340026,1.2,0.06666666562854834,0.06666666666666668,-1.4399999972301432,-1.44,0.07999999917018658,0.08000000000000002,-4.2376799303750176e-11,0.0,3.2428481185655524e-12,0.0,-4.2761918139700124e-13,0.0,-1.2435177025467315e-11,0.0,-1.1500656104400796e-11,0.0,8.761635234836653e-12,0.0,-8.875172809091477e-12,0.0,2.6887991819909957e-09,0.0
0.8,0.0,0.4166666666666667,2,0.06666666604530279,0.06666666666666668,6.21363890895843e-10,3.3360143898451365e-18,3.355705187407472e-18,3.1728718162293314e-09,9.202760600477258e-09,2.679218624734858e-09,9.741742525681058e-12,1.1328625679016113,1,1.1999999983819107,1.2,0.06666666572330218,0.06666666666666668,-1.4399999973207813,-1.44,0.07999999918773112,0.08000000000000002,6.613406080575559e-12,0.0,-3.4713791741282716e-12,0.0,-3.057418809791979e-12,0.0,-9.741742525681058e-12,0.0,1.7162863347502677e-12,0.0,3.3870438853227636e-12,0.0,5.824117537107931e-12,0.0,-4.240436589861717e-12,0.0
1.4,0.0,0.4166666666666667,0,0.20416666755137727,0.20416666666666664,8.847106380827086e-10,4.392760146320499e-15,4.476127857064286e-15,1.1588090253011002e-07,4.722525234066062e-07,1.0504410008493892e-08,3.532052230864109e-08,1.11613130569458,11,1.2000000080205808,1.2,0.20416667382694106,0.20416666666666664,-1.43999998949559,-1.44,0.2450000076868358,0.24499999999999997,3.387638581841779e-09,0.0,-2.3191949429550197e-08,0.0,1.3936120014659207e-08,0.0,1.29475858960685e-08,0.0,3.532052230864109e-08,0.0,1.907052161602993e-08,0.0,8.905502776233679e-09,0.0,8.575970409122208e-09,0.0
1.4,0.0,0.4166666666666667,1,0.20416666617286935,0.20416666666666664,4.93797280842756e-10,6.1463932515181494e-18,6.211580620766129e-18,4.316797639720721e-09,1.5199685218896696e-08,2.455160075243157e-09,1.1199789626450672e-09,1.0954492092132568,1,1.1999999984980174,1.2,0.20416666576067072,0.20416666666666664,-1.4399999975448399,-1.44,0.24499999922926446,0.24499999999999997,-2.485776445424078e-11,0.0,2.5114664955352115e-12,0.0,4.94737016538334e-13,0.0,-1.3324750240327948e-11,0.0,-4.807708224455021e-12,0.0,8.42135933482915e-12,0.0,-4.0771219466057046e-12,0.0,1.1199789626450672e-09,0.0
1.4,0.0,0.4166666666666667,2,0.20416666620884022,0.20416666666666664,4.578264156673839e-10,2.9456727454788504e-18,2.9569716505993752e-18,2.9784081237799037e-09,8.805632238587772e-09,2.3767403600771786e-09,8.285222454089673e-12,1.1711652278900146,1,1.1999999985344736,1.2,0.20416666582453866,0.20416666666666664,-1.4399999976232596,-1.44,0.24499999924898513,0.24499999999999997,6.131565621266679e-12,0.0,-4.0489236069327475e-12,0.0,-2.0963985342942916e-12,0.0,-8.285222454089673e-12,0.0,1.402837167527065e-12,0.0,3.3777928927808757e-12,0.0,5.53873422470497e-12,0.0,-4.079374723455979e-12,0.0
