training_mode,lambda_real,lambda_imag,alpha6,seed,elapsed_s,train_rms,valid_rms,max_coefficient_error,a1_learned,a1_exact,a1_error,a2_learned,a2_exact,a2_error,b0_learned,b0_exact,b0_error,b1_learned,b1_exact,b1_error,b2_learned,b2_exact,b2_error,c0_learned,c0_exact,c0_error,c1_learned,c1_exact,c1_error,c2_learned,c2_exact,c2_error
off-shell,0.0,0.7692307692307693,0.35,135,1.8744564880034886,3.119701370795115e-11,2.9211182871568086e-11,1.1193365678785483e-11,0.26923076923102895,0.2692307692307693,2.596811654598241e-13,-0.05575785162703316,-0.05575785161583979,-1.1193365678785483e-11,-0.422499999999929,-0.4224999999999999,7.088774012231625e-14,0.17500000000006224,0.175,6.225575610585565e-14,-0.10872781065071467,-0.10872781065088759,1.7291723608536813e-13,0.6500000000004144,0.6499999999999999,4.1444625509257094e-13,0.2692307692307987,0.2692307692307693,2.942091015256665e-14,-0.05575785161461778,-0.05575785161583979,1.2220155443110059e-12
off-shell,0.0,0.7692307692307693,0.35,136,1.9884654350025812,6.811238297061687e-16,1.1555815832996512e-15,5.551115123125783e-17,0.2692307692307692,0.2692307692307693,-5.551115123125783e-17,-0.0557578516158398,-0.05575785161583979,-6.938893903907228e-18,-0.42249999999999993,-0.4224999999999999,-5.551115123125783e-17,0.17499999999999993,0.175,-5.551115123125783e-17,-0.10872781065088759,-0.10872781065088759,0.0,0.6499999999999999,0.6499999999999999,0.0,0.2692307692307692,0.2692307692307693,-5.551115123125783e-17,-0.05575785161583985,-0.05575785161583979,-5.551115123125783e-17
off-shell,0.0,0.5,0.7,170,2.067993532997207,1.6687371646836998e-15,2.108140286207693e-15,2.220446049250313e-16,0.35000000000000003,0.35,5.551115123125783e-17,-0.06124999999999989,-0.06124999999999999,1.0408340855860843e-16,-1.0,-1.0,0.0,0.34999999999999987,0.35,-1.1102230246251565e-16,-0.18374999999999994,-0.18374999999999997,2.7755575615628914e-17,0.9999999999999998,1.0,-2.220446049250313e-16,0.35,0.35,0.0,-0.06124999999999993,-0.06124999999999999,6.245004513516506e-17
off-shell,0.0,0.5,0.7,171,1.8755088519974379,1.874124562079117e-15,3.5272465860755023e-15,2.220446049250313e-16,0.35,0.35,0.0,-0.061250000000000124,-0.06124999999999999,-1.3183898417423734e-16,-1.0000000000000002,-1.0,-2.220446049250313e-16,0.3499999999999999,0.35,-5.551115123125783e-17,-0.18374999999999997,-0.18374999999999997,0.0,1.0,1.0,0.0,0.35,0.35,0.0,-0.06125000000000002,-0.06124999999999999,-2.7755575615628914e-17
off-shell,0.0,0.3448275862068966,1.1,210,1.8056089019955834,2.624796913672688e-15,3.3236547924260047e-15,1.6653345369377348e-16,0.3793103448275863,0.37931034482758624,5.551115123125783e-17,-0.0496125302390423,-0.0496125302390422,-1.0408340855860843e-16,-2.1025,-2.1025,0.0,0.5499999999999999,0.55,-1.1102230246251565e-16,-0.2158145065398336,-0.21581450653983358,-2.7755575615628914e-17,1.45,1.45,0.0,0.3793103448275861,0.37931034482758624,-1.6653345369377348e-16,-0.04961253023904213,-0.0496125302390422,6.938893903907228e-17
off-shell,0.0,0.3448275862068966,1.1,211,1.8502077170123812,2.8371454755613656e-15,4.4757854405175e-15,2.220446049250313e-16,0.37931034482758635,0.37931034482758624,1.1102230246251565e-16,-0.04961253023904229,-0.0496125302390422,-9.020562075079397e-17,-2.1025,-2.1025,0.0,0.55,0.55,0.0,-0.2158145065398336,-0.21581450653983358,-2.7755575615628914e-17,1.4499999999999997,1.45,-2.220446049250313e-16,0.3793103448275863,0.37931034482758624,5.551115123125783e-17,-0.0496125302390421,-0.0496125302390422,9.71445146547012e-17
