lambda_real,lambda_imag,alpha6,seed,elapsed_s,train_rms,valid_rms,max_coefficient_error,a1_learned,a1_exact,a1_error,a2_learned,a2_exact,a2_error,b0_learned,b0_exact,b0_error,b1_learned,b1_exact,b1_error,b2_learned,b2_exact,b2_error,c0_learned,c0_exact,c0_error,c1_learned,c1_exact,c1_error,c2_learned,c2_exact,c2_error
0.0,0.7692307692307693,0.35,135,1.5915488070022548,1.1905969728071656e-11,1.1150581387949112e-11,4.3279269057450165e-12,0.26923076923071576,0.2692307692307693,-5.3512749786932545e-14,-0.055757851611511866,-0.05575785161583979,4.3279269057450165e-12,-0.4225000000000847,-0.4224999999999999,-8.482103908136196e-14,0.17500000000006458,0.175,6.458722445756848e-14,-0.10872781065092547,-0.10872781065088759,-3.788636071533347e-14,0.649999999999932,0.6499999999999999,-6.794564910705958e-14,0.26923076923078604,0.2692307692307693,1.6764367671839864e-14,-0.05575785161623996,-0.05575785161583979,-4.0016601143832986e-13
0.0,0.7692307692307693,0.35,136,1.6192363680020208,6.068745010982927e-16,1.1260577578033724e-15,5.551115123125783e-17,0.2692307692307693,0.2692307692307693,0.0,-0.05575785161583984,-0.05575785161583979,-4.85722573273506e-17,-0.4224999999999999,-0.4224999999999999,0.0,0.17500000000000002,0.175,2.7755575615628914e-17,-0.10872781065088764,-0.10872781065088759,-5.551115123125783e-17,0.6499999999999999,0.6499999999999999,0.0,0.26923076923076933,0.2692307692307693,5.551115123125783e-17,-0.05575785161583982,-0.05575785161583979,-2.7755575615628914e-17
0.0,0.5,0.7,170,1.5482791209942661,1.6871390073835774e-15,2.1492431005706257e-15,2.220446049250313e-16,0.3500000000000001,0.35,1.1102230246251565e-16,-0.06124999999999993,-0.06124999999999999,6.245004513516506e-17,-0.9999999999999999,-1.0,1.1102230246251565e-16,0.3499999999999999,0.35,-5.551115123125783e-17,-0.18375000000000008,-0.18374999999999997,-1.1102230246251565e-16,1.0000000000000002,1.0,2.220446049250313e-16,0.35000000000000003,0.35,5.551115123125783e-17,-0.061249999999999895,-0.06124999999999999,9.71445146547012e-17
0.0,0.5,0.7,171,1.5195603229949484,1.993339635303261e-15,3.5722332800012585e-15,4.440892098500626e-16,0.35,0.35,0.0,-0.06125000000000007,-0.06124999999999999,-7.632783294297951e-17,-1.0000000000000004,-1.0,-4.440892098500626e-16,0.3499999999999999,0.35,-5.551115123125783e-17,-0.18374999999999994,-0.18374999999999997,2.7755575615628914e-17,0.9999999999999999,1.0,-1.1102230246251565e-16,0.35,0.35,0.0,-0.06125000000000001,-0.06124999999999999,-2.0816681711721685e-17
0.0,0.3448275862068966,1.1,210,1.4980418060004013,2.538096118568467e-15,3.2483866156555155e-15,7.632783294297951e-17,0.3793103448275863,0.37931034482758624,5.551115123125783e-17,-0.04961253023904227,-0.0496125302390422,-6.938893903907228e-17,-2.1025,-2.1025,0.0,0.55,0.55,0.0,-0.21581450653983364,-0.21581450653983358,-5.551115123125783e-17,1.45,1.45,0.0,0.37931034482758624,0.37931034482758624,0.0,-0.04961253023904212,-0.0496125302390422,7.632783294297951e-17
0.0,0.3448275862068966,1.1,211,1.5442899379995652,2.7036068143881567e-15,4.372701709843448e-15,2.220446049250313e-16,0.37931034482758635,0.37931034482758624,1.1102230246251565e-16,-0.04961253023904228,-0.0496125302390422,-8.326672684688674e-17,-2.1025,-2.1025,0.0,0.55,0.55,0.0,-0.2158145065398337,-0.21581450653983358,-1.1102230246251565e-16,1.4499999999999997,1.45,-2.220446049250313e-16,0.37931034482758624,0.37931034482758624,0.0,-0.04961253023904221,-0.0496125302390422,-1.3877787807814457e-17
